class_name,order_name,genus,LAD,EXTANT,FALSE.EXT
(blank),(blank),Sceptroneis,11.62,0,0
(blank),(blank),Schizogalerix,13.65,0,0
(blank),(blank),Scutarcopagia,0.0117,0,0
(blank),(blank),Selaginella,0.0117,0,0
(blank),(blank),Selenopemphix,2.588,1,0
(blank),(blank),Semivulvulina,20.44,1,1
(blank),(blank),Senesia,11.62,0,0
(blank),(blank),Sherbornina,7.246,0,0
(blank),(blank),Sigaretus,7.246,0,0
(blank),(blank),Sigmoidella,3.6,1,0
(blank),(blank),Sigmomorphina,5.333,1,1
(blank),(blank),Siphogenerina,11.608,1,1
(blank),(blank),Siphonina,1.9,1,0
(blank),(blank),Siphonodosaria,12.7,1,1
(blank),(blank),Siphotextularia,5.333,1,1
(blank),(blank),Siren,0.0117,1,0
(blank),(blank),Sivameryx,15.97,0,0
(blank),(blank),Solatisonax,0.781,1,0
(blank),(blank),Sorex,0.0117,1,0
(blank),(blank),Spermophilus,0.0117,0,0
(blank),(blank),Sphaerogypsina,0.1279,1,0
(blank),(blank),Sphaeroidina,0.781,1,0
(blank),(blank),Sphaeroidinella,1.9,1,0
(blank),(blank),Sphaeroidinellopsis,2.588,0,0
(blank),(blank),Sphenolithus,3.6,1,0
(blank),(blank),Spilogale,2.588,1,0
(blank),(blank),Spiniferites,2.588,0,0
(blank),(blank),Spirillina,0.0117,1,0
(blank),(blank),Spiroclypeus,15.97,0,0
(blank),(blank),Spiroplectammina,0.781,1,0
(blank),(blank),Splendrillia,3.6,0,0
(blank),(blank),Sporadotrema,0.0175,1,0
(blank),(blank),Stephanogonia,11.62,0,0
(blank),(blank),Stephanopyxis,2.588,0,0
(blank),(blank),Stetsonia,1.9,1,0
(blank),(blank),Stictodiscus,11.62,0,0
(blank),(blank),Stilostomella,0.0117,0,0
(blank),(blank),Strigilla,0.0117,0,0
(blank),(blank),Strioterebrum,0.0117,0,0
(blank),(blank),Strombus,0.781,0,0
(blank),(blank),Struthiolaria,15.97,0,0
(blank),(blank),Suggrunda,5.333,0,0
(blank),(blank),Suncus,2.588,1,0
(blank),(blank),Svratkina,0.781,0,0
(blank),(blank),Synaraea,15.97,1,1
(blank),(blank),Synedra,11.62,0,0
(blank),(blank),Syngnathus,1.806,1,0
(blank),(blank),Syntomodrillia,0.781,0,0
(blank),(blank),Syracosphaera,3.6,0,0
(blank),(blank),Systematophora,20.44,0,0
(blank),(blank),Tagelus,0.0117,0,0
(blank),(blank),Tapes,0.0117,0,0
(blank),(blank),Taricha,0.0117,1,0
(blank),(blank),Tasmanites,20.44,0,0
(blank),(blank),Tectatodinium,2.588,0,0
(blank),(blank),Tellina,0.0117,0,0
(blank),(blank),Tenagodus,2.588,0,0
(blank),(blank),Tenuitella,15.97,1,1
(blank),(blank),Terebripirena,5.333,0,0
(blank),(blank),Textularia,0.0117,1,0
(blank),(blank),Thalassia,2.588,1,0
(blank),(blank),Thalassionema,2.588,0,0
(blank),(blank),Thalassiosira,2.588,0,0
(blank),(blank),Thalassiothrix,2.588,0,0
(blank),(blank),Timoclea,0.0117,0,0
(blank),(blank),Torquesia,0.0117,0,0
(blank),(blank),Toweius,11.608,0,0
(blank),(blank),Trachycardium,0.0117,0,0
(blank),(blank),Trapezicardium,5.333,0,0
(blank),(blank),Tribia,2.588,0,0
(blank),(blank),Triceratium,11.62,0,0
(blank),(blank),Trichechodon,2.588,0,0
(blank),(blank),Trifarina,0.781,1,0
(blank),(blank),Trigoniocardia,0.0117,0,0
(blank),(blank),Trigonostoma,0.0117,0,0
(blank),(blank),Trinacria,11.62,0,0
(blank),(blank),Tritia,0.0117,0,0
(blank),(blank),Tritonidea,0.0117,0,0
(blank),(blank),Triturus,2.588,1,0
(blank),(blank),Trivirostra,0.0117,0,0
(blank),(blank),Trochammina,2.588,1,0
(blank),(blank),Trochosira,11.62,0,0
(blank),(blank),Trochulina,15.97,0,0
(blank),(blank),Trophon,2.588,0,0
(blank),(blank),Truncorotalia,2.588,1,0
(blank),(blank),Tuberculodinium,13.82,0,0
(blank),(blank),Turbonilla,0.781,0,0
(blank),(blank),Turborotalia,0.781,0,0
